ResponseId,substance_codes,substance_labels,primary_substance_code,primary_substance,dosage_code,dosage_label,dosage_text,other_substances_any,other_substances_text,stage_code,stage_label,when_code,when_label
R_6dEk7tRbV3LaFX3,[2],Psilocybin,2.0,Psilocybin,5.0,very high,8gq,True,,3,middle,1,within the past week
R_10qve2wOIYZYW4S,[3],Ayahuasca,3.0,Ayahuasca,4.0,high,,False,,3,middle,2,within the past month
R_5Jz2BKaGz36Aacw,"[2, 11]","Psilocybin, Other",,,3.0,moderate,,True,Ketamine ,4,late middle,1,within the past week
R_3YLBzV7SkT76JSk,[11],Other,,,4.0,high,0.250g,False,,3,middle,1,within the past week
R_71eIihtEmtR9l9D,[1],LSD,1.0,LSD,4.0,high,Approximately 300 ug,True,,3,middle,1,within the past week
R_8G5Hz6s4HL6zTeF,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2grams,False,,2,early middle,1,within the past week
R_1LHegeibglA8OXo,[4],DMT,4.0,DMT,4.0,high, One full inhale of DMT,False,,3,middle,4,within the past 6 months
R_1uEav9ajs52pZmh,[1],LSD,1.0,LSD,3.0,moderate,,False,,3,middle,1,within the past week
R_6eK67Dwd9ht07GN,"[1, 4, 6, 11]","LSD, DMT, 5-MeO-DMT, Other",,,4.0,high,,True,Marijuana,4,late middle,1,within the past week
R_6VdM7bgsPWGt9Db,[11],Other,,,3.0,moderate,"22 mg of 4-PrO-DMT, 10 mg of 4-HO-MET",False,,4,late middle,1,within the past week
R_8LLtgLKhBNA4S3j,[1],LSD,1.0,LSD,4.0,high,400mic,False,,3,middle,4,within the past 6 months
R_5P7FCo5BmthYc3n,"[4, 7]","DMT, 2C-B",,,4.0,high,40-44mg 2cb,False,,2,early middle,1,within the past week
R_7U4WLnLfxCUrrwt,[11],Other,,,4.0,high,,True,kratom powder and beer,1,beginning,3,within the past 3 months
R_3hrW82adgZcyfIX,[11],Other,,,4.0,high,350 mg,False,,3,middle,7,Unknown(7)
R_3yq9w5UucqeYNt7,[4],DMT,4.0,DMT,2.0,small,3 to 5 mg of DMT,False,,3,middle,7,Unknown(7)
R_11HS9eONc56dsiZ,[4],DMT,4.0,DMT,4.0,high,,False,,2,early middle,1,within the past week
R_8yscByO1TQthNRh,[2],Psilocybin,2.0,Psilocybin,4.0,high,5g dried psilocybe cubensis,False,,2,early middle,1,within the past week
R_8EMZWaYkigJCgSt,[2],Psilocybin,2.0,Psilocybin,4.0,high,15 GM's of Psychedelic truffles,False,,2,early middle,2,within the past month
R_85SBT8r1IZR94am,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,1.5 grams,False,,3,middle,7,Unknown(7)
R_8aKtbno2lglAgui,"[1, 2]","LSD, Psilocybin",,,4.0,high,"200ug, 2 tab",False,,3,middle,7,Unknown(7)
R_2JLumzHtoKQLAyC,[2],Psilocybin,2.0,Psilocybin,5.0,very high,,False,,1,beginning,1,within the past week
R_2EX9dVtMIDX097K,[11],Other,,,7.0,unknown,0,False,,1,beginning,4,within the past 6 months
R_1FUo0lxhNIRsf81,[2],Psilocybin,2.0,Psilocybin,5.0,very high,7.5 grams,False,,3,middle,2,within the past month
R_20p1bd3unHpzuKt,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3.2g dried mushrooms,False,,3,middle,1,within the past week
R_8AX1A9aMmrBx1xD,"[4, 11]","DMT, Other",,,3.0,moderate,"1g / 2ml vape juice, in a boxmod with ceramic coil at 27W",True,Harmala,1,beginning,1,within the past week
R_2CT7Frdh46f3Iur,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2g of truffles approx,False,,3,middle,1,within the past week
R_2ynY01fw9XWR7LX,[3],Ayahuasca,3.0,Ayahuasca,5.0,very high,,False,,3,middle,1,within the past week
R_7PaZ45nY89wa57j,[11],Other,,,3.0,moderate,5 hawaiian baby woodrose seeds (unknown amount of LSA),False,,3,middle,1,within the past week
R_2fpGkicW4GZYeMQ,[11],Other,,,4.0,high,1gram,False,,3,middle,1,within the past week
R_1DRU2225CUAvX8A,[11],Other,,,3.0,moderate,450 morning glory seeds,True,LSA / LSH (Fresh heavenly blue morning glory seeds),3,middle,1,within the past week
R_1y7yuYfwzbn3l1v,[2],Psilocybin,2.0,Psilocybin,4.0,high,5 grams dried albino penis envy mushrooms,False,,3,middle,2,within the past month
R_1o5wjhVupQdtVNN,[4],DMT,4.0,DMT,4.0,high,,False,,3,middle,1,within the past week
R_1IWBI6TTDEUPshL,[1],LSD,1.0,LSD,3.0,moderate,,False,,3,middle,1,within the past week
R_8d6Cl3a7UGAv2x3,[1],LSD,1.0,LSD,4.0,high,3 tabs ,False,,2,early middle,2,within the past month
R_3hlrZWsERytZQnM,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3 grams of shrooms,False,,3,middle,1,within the past week
R_2MSDgEjV0VOkQiQ,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,15 ,False,,3,middle,1,within the past week
R_3EtAPIZuJZbdnA6,[4],DMT,4.0,DMT,3.0,moderate,,False,,3,middle,1,within the past week
R_2riuyJmwhf7oXJw,[8],Salvia,8.0,Salvia,3.0,moderate,,True,,2,early middle,1,within the past week
