ResponseId,experience_of_unity,spiritual_experience,blissful_state,insightfulness,disembodiment,impaired_control_and_cognition,anxiety,complex_imagery,elementary_imagery,audio_visual_synesthesia,changed_meaning_of_percepts
R_36ao9YGhC5GcZrq,4.8,41.333333333333336,4.0,27.333333333333332,3.6666666666666665,11.75,5.2,60.666666666666664,43.0,5.0,4.666666666666667
R_8c5yw36Pz3kZ3Cp,58.8,74.66666666666667,51.333333333333336,7.333333333333333,28.333333333333332,7.875,14.2,14.0,27.0,1.0,40.333333333333336
R_2U4mfZSqUjhgxov,51.4,41.666666666666664,89.33333333333333,81.33333333333333,67.66666666666667,20.25,19.4,94.33333333333333,29.0,100.0,18.666666666666668
R_21nfNz8AxMsB3vb,17.6,41.666666666666664,30.666666666666668,47.0,27.333333333333332,7.375,25.6,58.333333333333336,56.666666666666664,74.0,33.333333333333336
R_21hgqYz8t5glRvQ,78.4,100.0,91.0,91.0,31.0,43.625,53.4,91.66666666666667,87.33333333333333,100.0,76.0
R_2jJ9Enb3PhGhhr0,15.2,30.0,41.0,34.0,4.0,5.75,3.4,35.0,60.0,26.0,24.333333333333332
R_2GBvrInZcbMS2Sn,46.2,45.333333333333336,60.666666666666664,56.333333333333336,27.666666666666668,4.75,51.0,85.33333333333333,66.66666666666667,100.0,100.0
R_80UPG53TvLSipp9,83.2,16.666666666666668,100.0,93.33333333333333,45.666666666666664,28.625,34.4,82.0,0.0,96.66666666666667,82.66666666666667
R_8GoYPzVdsrKHvoX,71.6,42.666666666666664,57.666666666666664,69.66666666666667,49.0,47.0,43.8,66.0,62.0,95.0,70.0
R_2j9CQBXGXNNuzPK,43.6,67.66666666666667,97.0,54.0,30.333333333333332,17.0,31.8,45.666666666666664,74.33333333333333,25.0,88.66666666666667
R_85ynJUGBEKkyGVb,74.0,100.0,66.66666666666667,45.0,16.0,12.75,36.2,75.66666666666667,66.66666666666667,68.66666666666667,89.0
